,sex,age,number of follower,number of post,댓글수,like_average,youtube,타 플랫폼 여부,adposting/2021posting,number_posting_month,number_ad_posing_month,ad_posting_length,ad_posting_tag_number,동일 광고 여부,광고 게시글의 # of likes / # of followers,광고 게시글의 # of cmmnts / # of followers,비광고 게시글의 # of likes / # of followers,비광고 게시글의 # of cmmnts / # of followers,논란 여부,Comment Repeat Proportion,Re_cmt_post,Re_cmt_num
woo__gi_,남자,20대,290784,415,96.54545455,12342,0,1,0.267716535,50,21,196.2857143,9.857142857,0,0.036841973,4.05E-05,0.051131873,3.57E-05,0,8.149253731,0.583333333,0.048611111
so0o_h_,여자,20대,291489,248,77.84615385,8753,0,0,0.289473684,18,5,222.8,10.5,0,0.023089555,4.09E-05,0.030336514,3.97E-05,0,5.677966102,0.066666667,0.005555556
_ghyun__,여자,20대,273815,680,36.1,3604,0,1,0.244680851,46,18,159.5,8.5,0,0.007832534,3.61E-05,0.013776311,3.37E-05,0,8.258706468,0.816666667,0.081168831
chaevely___,여자,20대,131851,59,51.7,5860,0,0,0.05,26,1,558,12,0,0.040154337,9.10E-05,0.063471606,8.51E-05,0,4.760479042,0.033333333,0.002967359
su_.xy,여자,20대,160170,100,19.27272727,4490,0,1,0.4,27,10,93.6,11.5,0,0.003174871,6.24E-06,0.000324003,1.59E-06,0,5.521390374,0.293103448,0.026275116
_s_yj_,여자,20대,163227,595,4.363636364,2354,0,0,0.1875,24,8,227.875,18.5,1,0.009200184,2.21E-05,0.01334433,2.76E-05,0,7.247663551,0.1,0.020618557
d.o.j.e.e,여자,20대,29038,384,20,1025,0,0,0.446666667,88,37,91.18918919,5.3,1,0.020771616,0.000361695,0.001394742,4.40E-05,0,8.6,0.033333333,0.004958678
lovehean__,여자,20대,42397,176,33.83,1436,0,0,0.56,49,29,138.5862069,7.5,1,0.0594165,0.000242078,0.071027204,0.00018748,0,7.185069984,0.816666667,0.077160494
hyon__ing,여자,20대,23620,131,11.33,1246,0,0,0.192307692,30,11,117.5454545,2.7,1,0.061460736,0.000169924,0.08299915,0.000231824,0,5.30848329,0.9,0.133663366
_byeolee,여자,20대,5349,168,20,876.41,0,0,0.023809524,23,1,51,1,0,0.18960359,0.001308901,0.216050393,0.001807529,0,4.6375,0.516666667,0.047112462
thenanamilk,여자,30대,5404,258,4,164.9736842,0,0,0.289473684,21,8,91.625,4.5,1,0.041020899,0.000647309,0.023530751,0.000573805,0,5.588235294,0.033333333,0.009049774
gyo_owo_c,여자,10대,7950,35,16.83,95.38297872,0,0,0.244680851,46,18,159.5,1,0,0.117348609,0.001221201,0.005418608,5.54E-05,0,3.925531915,0.9,0.08490566
